	final_prompt
85	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Some of the employees within these buildings have travelled up the impact to survive by air support.
English human reference: Some of those working in these buildings have gone upstairs to escape by air aid after the collision .

Score: [/INST]"
86	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Then it passes through the body by the blood of the sugar formation.
English human reference: It then travels throughout the body in the form of sugar through the blood of animals .

Score: [/INST]"
87	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The notes of the lateral varieties are mentioned only on a queen.
English human reference: Records of later years refer only to a queen .

Score: [/INST]"
88	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: This can be due to inhalation or different cutaneous or heart problems.
English human reference: This can be caused by breathing or different valves or heart problems .

Score: [/INST]"
89	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Akhnaaton and unidentified descent have been suggested to be their parents.
English human reference: It has been suggested that Aknatan and an unidentified queen may have been their parents

Score: [/INST]"
90	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In Muslim culture, Muhammad is considered the last prophet who knew everything.
English human reference: In Muslim culture , Muhammad is considered to be the last knower of all things .

Score: [/INST]"
91	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In the commercialization of Europe, da taxes grew more effective within the country than in the sales.
English human reference: Trade in Europe was also taxed , resulting in higher yields within the country .

Score: [/INST]"
92	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The Temples are built for Shiva and vishnu.
English human reference: The Parantaka I and Parantaka the II Cholas built temples for Shiva and Vishnu .

Score: [/INST]"
93	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The Highland Institute specializes in cargo parasitism that does not reach a percentage cost.
English human reference: The specialty of Highland is that there is no response cost even if the item is split .

Score: [/INST]"
94	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: His girlfriend was expected to marry Evan Nash.
English human reference: He was expecting to marry his girlfriend , Yvonne Nash .

Score: [/INST]"
95	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Various Buddhism throughout goguryeo was constructed as the first kingdom of the zone embraced by Buddhism.
English human reference: Various Buddhist temples were built throughout Goguryeo as the first kingdom to embrace Buddhism in the region .

Score: [/INST]"
96	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Later, when the great order of the same year suffered the country, the emperor wu suggested that the emperor should be expelled from the court.
English human reference: Later , in the same year , when the country was hit by a severe drought , it was proposed that the empress Wu be deposed .

Score: [/INST]"
97	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The first of each competition element, second and third placed contestants in order to receive gold, silver, and bronze medals.
English human reference: The first , second and third place winners of each event will be awarded gold , silver and bronze medals respectively .

Score: [/INST]"
98	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: However, the climbing angel's hanging wings can sometimes map a cloak.
English human reference: However , the drooping wings of the naked goddess may be thought to represent a cloak .

Score: [/INST]"
99	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: It is possible that she may have defended her puppet ruler or sometimes the heyday of the shared control carried out with akhnatan.
English human reference: This may have been because she defended her puppet ruler or perhaps carried out a joint rule of sorts with Aknatan .

Score: [/INST]"
100	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Later in a cylinder of iron, this peel is based on the boiler from the baha steamer proper.
English human reference: The barrel is then steamed into an iron cylinder and properly tempered .

Score: [/INST]"
101	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Several major zones of colonization in foreign countries were in Europe.
English human reference: Several major zones of colonization in foreign countries were in Europe .

Score: [/INST]"
102	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: All of them received their gold medals and certificates after world War II.
English human reference: All of them received their gold medals and certificates after World War II .

Score: [/INST]"
103	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Even rocks that flourish elsewhere at such time are hit by the body of livestock.
English human reference: At such a time , even the stones thrown elsewhere hit the body of the living Angulimala .

Score: [/INST]"
104	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: This book is also the unique essay of Father Jacomé Gonzalves.
English human reference: This book is also an excellent compilation by Father Jacome Gonzalvez .

Score: [/INST]"
105	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Using an electric fan, this gas can be sent away from the eyes.
English human reference: Using an electric fan , this gas can be sent away from the eyes .

Score: [/INST]"
106	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The opposite arguments to this were presented in the 11th century by a judge, Abu Hamid Al Ghazali, who finally won.
English human reference: Abu Hameed al-Ghazali , an 11th-century theologian who argued the opposite , eventually won .

Score: [/INST]"
107	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The Pupils are divided into left and right pupils.
English human reference: The pulmonary aorta divides to form the left and right pulmonary arteries .

Score: [/INST]"
108	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Nowadays the natives are putting wild rope or various foods into or consumed.
English human reference: Indigenous peoples still ate wild onions raw or cooked in various dishes .

Score: [/INST]"
109	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: But because a peace treaty was not signed, both countries were officially in war.
English human reference: But since no peace agreement was signed , both countries were officially at war .

Score: [/INST]"
110	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Launched a workshop to protect Brace Girdle.
English human reference: Brace Girdle launched a program to protect .

Score: [/INST]"
111	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: This versatile record or siloc, with 1,893 bands and is considered to be the largest continuous record in the world for a single dynasty.
English human reference: With a volume of 1,893 volumes , the Silok is the largest continuous record in the world for a single dynasty .

Score: [/INST]"
112	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The youngest child among the dead was 02 years old and was travelling in the flight of the no. 175.
English human reference: The youngest child among the dead was 02 years old and was travelling in the flight of the no . 175 .

Score: [/INST]"
113	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Filtering the techniques that they met for safety, and the techniques that they met for safety are the formula.
English human reference: When they came back and met the Buddha , he recited the Karani Metta Sutta for protection and as a consolation for attaining Nibbana .

Score: [/INST]"
114	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: So the tattoos are said to be inhabited by a community with the perception of the dictionary.
English human reference: It is said that Dibba Viharaya is to live in a samadhi with the understanding of the Patichcha Samuppada .

Score: [/INST]"
115	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Another special mission was to capture the aircraft.
English human reference: Another special one was the special operation to capture Jaffna .

Score: [/INST]"
116	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: She replaced mut's landscape in the ancient great temple of Egypt in carnac.
English human reference: She restored the territory of Mutt , the ancient great goddess of Egypt at Carnac .

Score: [/INST]"
117	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The walls of the south coscia are bordered by the trabeculae carneae.
English human reference: The walls of the right ventricle are bordered by trabeculae carneae .

Score: [/INST]"
118	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Also except for the cargills Foodscape Supermarket, all of the supermarket sales of ellifant house products are marketed.
English human reference: It also sells Elephant House products in all supermarkets except Cargills Food City Supermarket .

Score: [/INST]"
119	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Another species that refers to the artifacts is the subspecies maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus maximus max
English human reference: Another characteristic of the "" Ratnavali "" author is that he explains what he has to say by using parables .

Score: [/INST]"
120	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The first gulf war caused Iraq to be completely destroyed.
English human reference: Iraq was completely destroyed by the First Gulf War .

Score: [/INST]"
121	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: According to history, the kin dynasty is considered a surname of Shang dynasty and is specifically used to refer to the later half of the Shang dynasty.
English human reference: Historically , the term Yin Dynasty has been synonymous with the Zhang Dynasty , especially used during later half of the dynasty .

Score: [/INST]"
122	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The 2nd special cavalry diving team was established in 1995.
English human reference: In 1995 , the Second Special Forces Diving Team was formed .

Score: [/INST]"
123	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The various monuments that were originally built for the descendants of later akhnaten's daughters meritaten and ankhsenpaten have been rebuilt for the cathedral.
English human reference: The various monuments originally made for the queen were later re-engraved for Akinatan 's daughters , Meritaten and Ankhesenpaten .

Score: [/INST]"
124	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: If there are some philosophical attitudes that fall correctly, it is clear that they were generalized to follow the season as concepts.
English human reference: Therefore , it is clear that if there were any philosophical attitudes that were perceived to be correct , they were to be considered and followed as concepts of the season .

Score: [/INST]"
125	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: A January 1815 article by John Adams addressing James Loyd
English human reference: John Adams addressing James Lloyd in a January 1815 letter

Score: [/INST]"
126	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The aircraft was stuck alongside, which provided the temperature data for 23 minutes.
English human reference: The aircraft had tilted to a side , during which it transmitted temperature data for 23 minutes .

Score: [/INST]"
127	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In 918, it became the ruling dynasty of Korea by 936.
English human reference: In 918 and by 936 it had become the ruling dynasty of Korea .

Score: [/INST]"
128	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In those countries, ""salads"" are made of fried vegetables, which are warmly or coldly accepted.
English human reference: In those countries , "" salads "" are made from cooked vegetables , which are served hot or cold .

Score: [/INST]"
129	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: This forum was first intended by Jorge Lowe.
English human reference: George Lowe was the first to comment on this .

Score: [/INST]"
130	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Due to the influence of Buddhism, the goguryeo kings led to construct art and architecture for the Buddha.
English human reference: Inspired by Buddhism , the Goguryeo kings were inspired to build works of art and architecture dedicated to the Buddha .

Score: [/INST]"
131	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Although there are no up to the names of the billionaires, the names of those billionaires can be determined by certainty.
English human reference: Although the baby 's names are not mentioned here , it is possible to identify the baby as a girl .

Score: [/INST]"
132	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: But since July 11, 1788, ""the United States of America"" begins in the country's currency deals.
English human reference: But since July 11 , 1788 , "" the United States of America "" begins in the country 's currency deals .

Score: [/INST]"
133	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The names of the eight regions are still preserved in one way or another today.
English human reference: The names of the eight provinces are still preserved in one way or another .

Score: [/INST]"
134	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: He or the volunteers of the U.S. Army and militia troops of time gunships, no known formal commands of the force.
English human reference: Neither he nor any of the volunteers and militiamen in the U.S. Army knew how to operate time guns , battalions , and so on .

Score: [/INST]"
135	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: After that, the plebiscite of the temples was met with historical records.
English human reference: After that , historical records including the inscriptions of the temples are found .

Score: [/INST]"
136	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: They were the last sparks and barely had enough revenue to survive.
English human reference: These were the last of the poor who made barely enough to make a living .

Score: [/INST]"
137	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The new wealthy settlers came to acquire large land.
English human reference: New wealthy settlers came to acquire large tracts of land .

Score: [/INST]"
138	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Since 2009, Korean organizations, including the Japanese government, have requested a judgment on the murder of Min Abbey.
English human reference: Since 2009 , Korean organizations have been demanding a verdict on the assassination of the head queen Ming by the Japanese government .

Score: [/INST]"
139	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: But by the middle of the 14th century, the Yuan dynasty was falling.
English human reference: But by the middle of the 14th century , the Yuan dynasty was collapsing .

Score: [/INST]"
140	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: But these changes were not approved by the Palestinian government.
English human reference: But these changes were not approved by the Palestinian government .

Score: [/INST]"
141	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Due to a rebellion against him in March 1916 Yuan had to give up power and he died in June of that year.
English human reference: A revolt against him forced Juan to relinquish power in March 1916 , and he died in June of that year .

Score: [/INST]"
142	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Most of these documents include the political purpose of writing a poem about hundreds of dead mothers who were unable to see revisions of grievances.
English human reference: Many of these documents were written for political purposes , but there is also a poem written with the sadness of not being able to see his dead mother again .

Score: [/INST]"
143	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The Tamil Nadu government established a 30 % entertainment tax on nan e.
English human reference: The Tamil Nadu government has imposed a 30 % entertainment tax on non-e .

Score: [/INST]"
144	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: There can be disadvantage of relief service groups travelling helicopters using a mirror.
English human reference: Accident victims can use a mirror to catch the attention of relief helicopters .

Score: [/INST]"
145	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In addition he led several battalions to fight the jurchens at the northern border of 1491.
English human reference: In addition , in 1491 he led several armies to fight the Jurchens on the northern frontier .

Score: [/INST]"
146	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Profitability and quality of price parabolism and market sales are affected to decide.
English human reference: Price paradigm and market sales determine profitability and quality .

Score: [/INST]"
147	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: About 70000 milkgoers are also providing milk to the entire product.
English human reference: It also supplies milk to about 70,000 dairy farmers for total production

Score: [/INST]"
148	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The use of sugar with competitive and diabetic doubts, including cardiovascular disease, dimensional disease, eyes invisibility and tooth decay are also linked to the use of sugar.
English human reference: Sugar consumption has been linked to suspected obesity and diabetes , as well as heart disease , dementia , blindness and tooth decay .

Score: [/INST]"
149	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: By May 2001, Sun Boone was officially endorsed.
English human reference: By May 2001 , the demolition of the wreckage had officially ended .

Score: [/INST]"
150	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: However, a few birds with traditions are available on kashrut status.
English human reference: However , there are a few birds with traditions about kashrut status

Score: [/INST]"
151	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Commercial versus fungi can be used to prevent it from destroying fungi.
English human reference: Commercial anti-fungal remedies can be used to prevent the spread of fungal infections .

Score: [/INST]"
152	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In 1996, the Olympic Centennial of the year celebrated at the Atlanta Olympics in the village of Olympic Park. Two bowlers were killed and 111 injured.
English human reference: A bomb blast near the 1996 Atlanta Olympics has killed at least two people and injured 111 others .

Score: [/INST]"
153	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Eventually, their marriage was on the need of the mouse.
English human reference: Eventually their marriage took place at the request of the parents .

Score: [/INST]"
154	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The real satisfaction is that the soil is not only satisfactory but also satisfactory.
English human reference: Only when so satisfied is it realized that true satisfaction is not .

Score: [/INST]"
155	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Then, the cyanobacterium is green in monitoring a species like a cyanobacterium.
English human reference: That is , chlorophyll is caused by the ingestion of an organism , such as a cyanobacteria .

Score: [/INST]"
156	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: It was damaged in the attempted robbery quickly.
English human reference: It has been damaged in an attempt to loot quickly .

Score: [/INST]"
157	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: According to section 56, the fields to the farmer s ' Council can be definitely acquired.
English human reference: According to Article 56 , the Farmers ' Council can also acquire paddy lands compulsorily .

Score: [/INST]"
158	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Then when the difference in the two Shia and supreme religions is taken, it dates to a very far history.
English human reference: That is , the difference between the two Shia and Sunni religions goes back a long way .

Score: [/INST]"
159	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In addition, the kiryataka reporter will return the oxygenated blood of the miocardium to the southern karma.
English human reference: In addition , the coronary artery returns oxygenated blood from the myocardium to the right atrium .

Score: [/INST]"
160	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Further information about their ideas can be userized to explore their articles.
English human reference: You can refer to their books to explore more information about their ideas .

Score: [/INST]"
161	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: However, Fridays from the earth's surface are completely different.
English human reference: However , the surface of Venus is completely different from the Earth 's surface .

Score: [/INST]"
162	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Ethman grew up on the island of dayan, the father's home on dayan.
English human reference: He grew up on Divari Island , in his father 's home on Divari Island .

Score: [/INST]"
163	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: If the peculiar laps are not constantly removed, such as time can cause consumer problems.
English human reference: Frequent exposure to blemishes can lead to chronic problems such as inflammation .

Score: [/INST]"
164	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: We have many familiar flash drive actual memory types such as this.
English human reference: Most of the flash drives we are familiar with have this type of memory .

Score: [/INST]"
165	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Next connected to the initial mission, initially LTD.
English human reference: Next , he joined the Mullaitivu operation . Mullaitivu L.T.T.E

Score: [/INST]"
166	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The period to use euro was used for Vatican coins and ringing similar to the Italian Lira.
English human reference: Prior to the use of the euro , Vatican coins and stamps used the Vatican lira , similar to the Italian lira .

Score: [/INST]"
167	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: But we couldn't make a decision on that, Hayes handed it over to Alan Horne for Disney.
English human reference: But since we could not make a decision on that , it was handed over to Alan Horn on behalf of Disney .

Score: [/INST]"
168	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Tanjavur became the capital of the imperial chola dynasty.
English human reference: Thanjavur became the capital of the imperial Chola dynasty .

Score: [/INST]"
